No.;Athlete;Nation;Sport;Years;Games;Gender;Gold;Silver;Bronze;Total
1;Michael Phelps;USA;Swimming;2004–2016;Summer;M;23;3;2;28
2;Larisa Latynina;USSR;Gymnastics;1956–1964;Summer;F;9;5;4;18
6;Marit Bjørgen;NOR;Cross-country skiing;2002–2018;Winter;F;8;4;3;15
15;Nikolai Andrianov;USSR;Gymnastics;1972–1980;Summer;M;7;5;3;15
16;Boris Shakhlin;USSR;Gymnastics;1956–1964;Summer;M;7;4;2;13
41;Takashi Ono;JPN;Gymnastics;1952–1964;Summer;M;5;4;4;13
20;Edoardo Mangiarotti;ITA;Fencing;1936–1960;Summer;M;6;5;2;13
7;Ole Einar Bjørndalen;NOR;Biathlon;1998–2014;Winter;M;8;4;1;13
87;Dara Torres;USA;Swimming;1984–2008;Summer;F;4;4;4;12
10;Jenny Thompson;USA;Swimming;1992–2004;Summer;F;8;3;1;12
3;Paavo Nurmi;FIN;Athletics;1920–1928;Summer;M;9;3;0;12
97;Alexei Nemov;RUS;Gymnastics;1996–2000;Summer;M;4;2;6;12
22;Ryan Lochte;USA;Swimming;2004–2016;Summer;M;6;3;3;12
10;Sawao Kato;JPN;Gymnastics;1968–1976;Summer;M;8;3;1;12
8;Birgit Fischer;NEM;Canoeing;1980–2004;Summer;F;8;4;0;12
8;Bjørn Dæhlie;NOR;Cross-country skiing;1992–1998;Winter;M;8;4;0;12
40;Ireen Wüst;NLD;Speed skating;2006–2018;Winter;F;5;5;1;11
4;Mark Spitz;USA;Swimming;1968–1972;Summer;M;9;1;1;11
42;Carl Osburn;USA;Shooting;1912–1924;Summer;M;5;4;2;11
18;Viktor Chukarin;USSR;Gymnastics;1952–1956;Summer;M;7;3;1;11
17;Věra Čáslavská;CZR;Gymnastics;1960–1968;Summer;F;7;4;0;11
12;Matt Biondi;USA;Swimming;1984–1992;Summer;M;8;2;1;11
21;Isabell Werth;NEM;Equestrian;1992–2016;Summer;F;6;4;0;10
85;Raisa Smetanina;USSR;Cross-country skiing;1976–1992;Winter;F;4;5;1;10
31;Vitaly Scherbo;BLR;Gymnastics;1992–1996;Summer;M;6;0;4;10
26;Akinori Nakayama;JPN;Gymnastics;1968–1972;Summer;M;6;2;2;10
5;Carl Lewis;USA;Athletics;1984–1996;Summer;M;9;1;0;10
43;Ágnes Keleti;HUN;Gymnastics;1952–1956;Summer;F;5;3;2;10
43;Gary Hall, Jr.;USA;Swimming;1996–2004;Summer;M;5;3;2;10
19;Aladár Gerevich;HUN;Fencing;1932–1960;Summer;M;7;1;2;10
48;Polina Astakhova;USSR;Gymnastics;1956–1964;Summer;F;5;2;3;10
23;Lyubov Yegorova;RUS;Cross-country skiing;1992–1994;Winter;F;6;3;0;9
27;Valentina Vezzali;ITA;Fencing;1996–2012;Summer;F;6;1;2;9
23;Hubert Van Innis;BLG;Archery;1900–1920;Summer;M;6;3;0;9
54;Mitsuo Tsukahara;JPN;Gymnastics;1968–1976;Summer;M;5;1;3;9
90;Ludmilla Tourischeva;USSR;Gymnastics;1968–1976;Summer;F;4;3;2;9
45;Ian Thorpe;AUS;Swimming;2000–2004;Summer;M;5;3;1;9
86;Alexander Popov;RUS;Swimming;1992–2000;Summer;M;4;5;0;9
49;Claudia Pechstein;NEM;Speed skating;1992–2006;Winter;F;5;2;2;9
98;Sven Kramer;NLD;Speed skating;2006–2018;Winter;M;4;2;3;9
90;Sixten Jernberg;SWE;Cross-country skiing;1956–1964;Winter;M;4;3;2;9
23;Allyson Felix;USA;Athletics;2004–2016;Summer;F;6;3;0;9
45;Nadia Comăneci;ROU;Gymnastics;1976–1980;Summer;F;5;3;1;9
55;Bradley Wiggins;GBR;Cycling;2000–2016;Summer;M;5;1;2;8
117;Giovanna Trillini;ITA;Fencing;1992–2008;Summer;F;4;1;3;8
92;Emil Hegle Svendsen;NOR;Biathlon;2010–2018;Winter;M;4;3;1;8
99;Allison Schmitt;USA;Swimming;2008–2016;Summer;F;4;2;2;8
